Condition,Geometry Number,Location,Stenosis Percentage,Length,Width,R_scale,R_micro,R_total,P_d/P_a,CFR,CFR/FFR,discord,HMR,BMR/HMR,HSR,P_Loss_Coeff,Average Flow,Max Flow,v_distal,Q_distal,WSS_LMB,WSS_Bif,WSS_LE,WSS_TE,WSS_min,WSS_LE_min,WSS_TE_min,WSS_Area_Bifur,WSS_LE_Area,WSS_TE_Area,WSS_Area_Bifur_min,WSS_LE_Area_min,WSS_TE_Area_min,source
Hyperemic,316,,,,,,,,0.841463415,3.333333333,3.961352655,0,1.38,3.913043478,,1.116655353,,,,,,,,,,,,,,,,,,garcia
Hyperemic,317,,,,,,,,0.84375,1.923076923,2.279202279,2,3.24,2.231718898,,1.780863251,,,,,,,,,,,,,,,,,,garcia
Hyperemic,318,,,,,,,,0.844444444,2.071428571,2.45300752,0,2.620689655,2.234962406,,1.621984049,,,,,,,,,,,,,,,,,,garcia
Hyperemic,319,,,,,,,,0.847826087,2.466666667,2.90940171,0,2.108108108,2.751282051,,1.410376597,,,,,,,,,,,,,,,,,,garcia
Hyperemic,320,,,,,,,,0.85,3.083333333,3.62745098,0,1.837837838,3.31004902,,1.343429807,,,,,,,,,,,,,,,,,,garcia
Hyperemic,321,,,,,,,,0.85,1.444444444,1.699346405,2,3.269230769,1.580392157,,1.746796573,,,,,,,,,,,,,,,,,,garcia
Hyperemic,322,,,,,,,,0.85,1.916666667,2.254901961,2,3.695652174,2.142156863,,1.853287597,,,,,,,,,,,,,,,,,,garcia
Hyperemic,323,,,,,,,,0.85046729,2.7,3.174725274,0,1.685185185,3.026373626,,1.139984473,,,,,,,,,,,,,,,,,,garcia
Hyperemic,324,,,,,,,,0.85106383,3,3.524999999,0,1.15942029,3.4875,,0.869081864,,,,,,,,,,,,,,,,,,garcia
Hyperemic,325,,,,,,,,0.851851852,2.225806452,2.612903226,0,1.333333333,2.491935484,,0.927073811,,,,,,,,,,,,,,,,,,garcia
Hyperemic,326,,,,,,,,0.852631579,2.842105263,3.333333333,0,1.5,3.333333333,,1.081992526,,,,,,,,,,,,,,,,,,garcia
Hyperemic,327,,,,,,,,0.852941176,1.592592593,1.867177524,2,2.023255814,1.775649212,,1.309806357,,,,,,,,,,,,,,,,,,garcia
Hyperemic,328,,,,,,,,0.853448276,2.642857143,3.096681096,0,2.675675676,2.98989899,,1.494697483,,,,,,,,,,,,,,,,,,garcia
Hyperemic,329,,,,,,,,0.855555556,3.924050633,4.586552686,0,2.483870968,4.433667598,,1.531871974,,,,,,,,,,,,,,,,,,garcia
Hyperemic,330,,,,,,,,0.855932203,1.88,2.196435645,2,2.14893617,2.196435644,,1.286905215,,,,,,,,,,,,,,,,,,garcia
Hyperemic,331,,,,,,,,0.858823529,5.376344086,6.260126678,0,1.46,6.186478126,,1.081893247,,,,,,,,,,,,,,,,,,garcia
Hyperemic,332,,,,,,,,0.858974359,3.5,4.074626866,0,1.914285714,4.179104478,,1.353908606,,,,,,,,,,,,,,,,,,garcia
Hyperemic,333,,,,,,,,0.861702128,2,2.320987653,0,1.840909091,2.148148148,,1.227690009,,,,,,,,,,,,,,,,,,garcia
Hyperemic,334,,,,,,,,0.861702128,2.6,3.017283949,0,2.076923077,2.888888889,,1.332466148,,,,,,,,,,,,,,,,,,garcia
Hyperemic,335,,,,,,,,0.862068966,2.027027027,2.35135135,0,1,2.675675676,,0.729710729,,,,,,,,,,,,,,,,,,garcia
Hyperemic,336,,,,,,,,0.862903226,2.041666667,2.366043614,0,2.183673469,2.308800623,,1.250708771,,,,,,,,,,,,,,,,,,garcia
Hyperemic,337,,,,,,,,0.863157895,2.5,2.896341463,0,2.733333333,2.865853659,,1.560352852,,,,,,,,,,,,,,,,,,garcia
Hyperemic,338,,,,,,,,0.863636364,2.058823529,2.383900927,0,2.714285714,2.188854489,,1.48860718,,,,,,,,,,,,,,,,,,garcia
Hyperemic,339,,,,,,,,0.865168539,1.785714286,2.064007422,2,3.08,1.971243043,,1.683953238,,,,,,,,,,,,,,,,,,garcia
Hyperemic,340,,,,,,,,0.865853659,2.1875,2.526408449,0,2.028571429,2.095070423,,1.353908606,,,,,,,,,,,,,,,,,,garcia
Hyperemic,341,,,,,,,,0.868131868,1.904761905,2.194092828,2,2.46875,2.073538276,,1.469533299,,,,,,,,,,,,,,,,,,garcia
Hyperemic,342,,,,,,,,0.868852459,1.528301887,1.758988964,2,0.654320988,1.758988964,,0.486771959,,,,,,,,,,,,,,,,,,garcia
Hyperemic,343,,,,,,,,0.87,3.466666667,3.98467433,0,1.673076923,3.944827586,,1.082588675,,,,,,,,,,,,,,,,,,garcia
Hyperemic,344,,,,,,,,0.87,2.291666667,2.634099617,0,1.581818182,2.634099617,,1.033869983,,,,,,,,,,,,,,,,,,garcia
Hyperemic,345,,,,,,,,0.87037037,2.157894737,2.479283316,0,2.292682927,2.180851064,,1.321212332,,,,,,,,,,,,,,,,,,garcia
Hyperemic,346,,,,,,,,0.870588235,3.133333333,3.5990991,0,1.574468085,3.641441441,,1.097848979,,,,,,,,,,,,,,,,,,garcia
Hyperemic,347,,,,,,,,0.870588235,2.384615385,2.73908524,0,2.387096774,2.352390852,,1.459321307,,,,,,,,,,,,,,,,,,garcia
Hyperemic,348,,,,,,,,0.871287129,1.592592593,1.827861953,2,2.046511628,2.026936027,,1.247658451,,,,,,,,,,,,,,,,,,garcia
Hyperemic,349,,,,,,,,0.873873874,2.153846154,2.464710547,0,1.732142857,2.464710547,,1.050403991,,,,,,,,,,,,,,,,,,garcia
Hyperemic,350,,,,,,,,0.875,2.25,2.571428571,0,1.069444444,2.62987013,,0.727379702,,,,,,,,,,,,,,,,,,garcia
Hyperemic,351,,,,,,,,0.875,2.388888889,2.73015873,0,1.790697674,2.637085137,,1.175107784,,,,,,,,,,,,,,,,,,garcia
Hyperemic,352,,,,,,,,0.875,3.222222222,3.682539682,0,1.448275862,4.066137566,,0.952977268,,,,,,,,,,,,,,,,,,garcia
Hyperemic,353,,,,,,,,0.875,2.173913043,2.484472049,0,1.82,2.269469661,,1.116655353,,,,,,,,,,,,,,,,,,garcia
