GeometryNumber,ColumnName,ImputedValue,NeighborGeometryNumbers
15,WSS_LE_Area,0.25577148119559145,"[np.float64(12.0), np.float64(99.0), np.float64(6.0), np.float64(90.0), np.float64(9.0)]"
15,WSS_Area_Bifur,0.8756327328792854,"[np.float64(12.0), np.float64(99.0), np.float64(6.0), np.float64(90.0), np.float64(9.0)]"
15,WSS_TE_min,15.698133024143477,"[np.float64(12.0), np.float64(99.0), np.float64(6.0), np.float64(90.0), np.float64(9.0)]"
15,WSS_LE_min,7.102212136277586,"[np.float64(12.0), np.float64(99.0), np.float64(6.0), np.float64(90.0), np.float64(9.0)]"
15,WSS_TE_Area_min,0.000258093758855988,"[np.float64(12.0), np.float64(99.0), np.float64(6.0), np.float64(90.0), np.float64(9.0)]"
15,WSS_LE_Area_min,1.3004180780412639e-05,"[np.float64(12.0), np.float64(99.0), np.float64(6.0), np.float64(90.0), np.float64(9.0)]"
15,WSS_Area_Bifur_min,6.000659103720736e-06,"[np.float64(12.0), np.float64(99.0), np.float64(6.0), np.float64(90.0), np.float64(9.0)]"
40,WSS_min,2.461547607946463,"[np.float64(114.0), np.float64(111.0), np.float64(34.0), np.float64(46.0), np.float64(31.0)]"
85,WSS_Area_Bifur,0.9068675200562085,"[np.float64(102.0), np.float64(27.0), np.float64(95.0), np.float64(2.0), np.float64(101.0)]"
25,Average Flow,CouldNotImpute,[]
25,Max Flow,CouldNotImpute,[]
25,v_distal,CouldNotImpute,[]
25,P_d/P_a,CouldNotImpute,[]
25,HMR,CouldNotImpute,[]
25,HSR,CouldNotImpute,[]
25,P_Loss_Coeff,CouldNotImpute,[]
25,WSS_TE,CouldNotImpute,[]
25,WSS_LE,CouldNotImpute,[]
25,WSS_TE_Area,CouldNotImpute,[]
25,WSS_LE_Area,CouldNotImpute,[]
25,CFR,CouldNotImpute,[]
25,BMR/HMR,CouldNotImpute,[]
25,CFR/FFR,CouldNotImpute,[]
25,WSS_Area_Bifur,CouldNotImpute,[]
25,WSS_Bif,CouldNotImpute,[]
25,WSS_LMB,CouldNotImpute,[]
