Condition,Geometry Number,Stenosis Percentage,Length,Width,Average Flow,Max Flow,v_distal,P_d/P_a,HMR,HSR,P_Loss_Coeff,WSS_TE,WSS_LE,WSS_TE_Area,WSS_LE_Area,R_scale,R_micro,R_total,Location,CFR,BMR/HMR,CFR/FFR,WSS_Area_Bifur,WSS_Bif,WSS_LMB,WSS_min,WSS_TE_min,WSS_LE_min,WSS_TE_Area_min,WSS_LE_Area_min,WSS_Area_Bifur_min,discord,source,Location_num
Hyperemic,342,,,,,,,0.967032967,2.75,,0.867473308,,,,,,,,,2.285714286,2.493506494,2.363636364,,,,,,,,,,0,garcia,0
Hyperemic,340,,,,,,,0.863157895,2.733333333,,1.560352852,,,,,,,,,2.5,2.865853659,2.896341463,,,,,,,,,,0,garcia,0
Hyperemic,339,,,,,,,0.63963964,2.730769231,,2.172765305,,,,,,,,,1.181818182,1.33162612,1.847631241,,,,,,,,,,0,garcia,0
Hyperemic,338,,,,,,,0.863636364,2.714285714,,1.48860718,,,,,,,,,2.058823529,2.188854489,2.383900927,,,,,,,,,,0,garcia,0
Hyperemic,337,,,,,,,0.738636364,2.708333333,,2.001957362,,,,,,,,,2.666666667,3.569230769,3.610256409,,,,,,,,,,1,garcia,0
Hyperemic,336,,,,,,,0.73,2.703703704,,1.969288245,,,,,,,,,1.8,2.194520548,2.465753425,,,,,,,,,,0,garcia,0
Hyperemic,334,,,,,,,0.838709677,2.689655172,,1.651947273,,,,,,,,,2.230769231,2.716962525,2.659763315,,,,,,,,,,0,garcia,0
Hyperemic,335,,,,,,,0.896551724,2.689655172,,1.430098523,,,,,,,,,1.611111111,1.817663818,1.797008547,,,,,,,,,,1,garcia,0
Hyperemic,333,,,,,,,0.892473118,2.677419355,,1.417928622,,,,,,,,,2.214285714,2.481067126,2.481067126,,,,,,,,,,0,garcia,0
Hyperemic,45,5.89E-01,1.2,0.63,4.163569989,6.954037,31.13517692,0.75687112,2.675958768,0.859595302,1.841596975,800.2244054,643.1548609,0.191061902,0.236326601,0.43,0,0.43,LAD,2.074473934,2.626040536,2.740854922,0.641197089,1938.923303,438.439425,14.09999587,3.324824977,2.93199149,0,0,0,1,mine,0
Hyperemic,332,,,,,,,0.853448276,2.675675676,,1.494697483,,,,,,,,,2.642857143,2.98989899,3.096681096,,,,,,,,,,0,garcia,0
Hyperemic,331,,,,,,,0.673469388,2.64,,2.10992197,,,,,,,,,2.272727273,3.099173554,3.374655647,,,,,,,,,,1,garcia,0
Hyperemic,330,,,,,,,0.79,2.633333333,,1.768628795,,,,,,,,,2.727272727,2.934407365,3.452243958,,,,,,,,,,1,garcia,0
Hyperemic,329,,,,,,,0.943396226,2.631578947,,1.019236067,,,,,,,,,2.235294118,2.324705882,2.369411766,,,,,,,,,,0,garcia,0
Hyperemic,328,,,,,,,0.7,2.625,,2.07159329,,,,,,,,,2.181818182,2.83982684,3.116883117,,,,,,,,,,1,garcia,0
Hyperemic,327,,,,,,,0.844444444,2.620689655,,1.621984049,,,,,,,,,2.071428571,2.234962406,2.45300752,,,,,,,,,,0,garcia,0
Hyperemic,326,,,,,,,0.91011236,2.612903226,,1.321018609,,,,,,,,,2.583333333,3.061728395,2.838477364,,,,,,,,,,0,garcia,0
Hyperemic,325,,,,,,,0.886792453,2.611111111,,1.367228254,,,,,,,,,2.25,2.704787234,2.537234042,,,,,,,,,,0,garcia,0
Hyperemic,324,,,,,,,0.838983051,2.605263158,,1.519838417,,,,,,,,,2.533333333,2.738047138,3.019528619,,,,,,,,,,0,garcia,0
Hyperemic,323,,,,,,,0.941176471,2.580645161,,1.116898626,,,,,,,,,2.583333333,2.615625,2.744791665,,,,,,,,,,0,garcia,0
Hyperemic,322,,,,,,,0.46,2.555555556,,2.622500759,,,,,,,,,0.9,0.97826087,1.956521739,,,,,,,,,,0,garcia,0
